spot@sudeeps-mbp streaming-02-multiple-processes % python3 process_streaming_harinyapotluri.py > out9.txt
2024-05-15 12:39:10,598 - INFO - ===============================================
2024-05-15 12:39:10,598 - INFO - Starting fake streaming process.
2024-05-15 12:39:10,598 - INFO - Starting to stream data from SAT__College_Board__2010_School_Level_Results_20240506.csv to ('localhost', 9999).
2024-05-15 12:39:10,598 - INFO - Opened for reading: SAT__College_Board__2010_School_Level_Results_20240506.csv.
2024-05-15 12:39:10,598 - INFO - Opened for writing: out9.txt.
2024-05-15 12:39:10,599 - INFO - Skipped header row: ['DBN', 'School Name', 'Number of Test Takers', 'Critical Reading Mean', 'Mathematics Mean', 'Writing Mean']
2024-05-15 12:39:10,619 - INFO - Sent: b'[06M552, GREGORIO LUPERON PREP SCHOOL , 60, 342, 384, 333]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,619 - INFO - Sent: b'[07X221, SOUTH BRONX PREPARATORY , 60, 399, 393, 382]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,619 - INFO - Sent: b'[07X321, CROTANA ACADEMY HIGH SCHOOL , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,619 - INFO - Sent: b'[07X334, INTERNATIONAL COMMUNITY HIGH SCHOOL , 33, 322, 335, 327]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,619 - INFO - Sent: b'[07X379, Jill Chaifetz Transfer High School , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,620 - INFO - Sent: b'[07X381, BRONX HAVEN HIGH SCHOOL , 15, 335, 342, 372]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,620 - INFO - Sent: b'[07X427, Community High School Social Justice , 50, 372, 351, 359]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,620 - INFO - Sent: b'[07X473, Mott Haven Village Preparatory High School , 48, 345, 352, 349]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,620 - INFO - Sent: b'[07X495, UNIVERSITY HEIGHTS HIGH SCHOOL , 66, 401, 388, 396]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,620 - INFO - Sent: b'[07X500, HOSTOS-LINCOLN ACADEMY SCIENCE , 62, 460, 455, 457]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,620 - INFO - Sent: b'[07X520, FOREIGN LANGUAGE ACADEMY , 73, 418, 429, 415]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,621 - INFO - Sent: b'[07X527, Bronx Leadership Academy II High School , 55, 377, 381, 379]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,621 - INFO - Sent: b'[07X547, NEW EXPLORERS HIGH SCHOOL , 36, 382, 376, 376]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,621 - INFO - Sent: b'[07X548, Urban Assembly School for Careers in Sports , 58, 381, 423, 384]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,621 - INFO - Sent: b'[07X551, Bronx Academy of Letters , 51, 416, 406, 435]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,621 - INFO - Sent: b'[07X600, ALFRED E SMITH HIGH SCHOOL , 53, 367, 372, 354]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,621 - INFO - Sent: b'[07X655, Samuel Gompers Vocational Technical High School , 105, 370, 385, 354]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,621 - INFO - Sent: b'[07X670, Health Opportunities High School , 81, 400, 391, 387]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,622 - INFO - Sent: b"[08X282, YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP , 56, 395, 407, 388]" on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,622 - INFO - Sent: b'[08X293, Renaissance High School Music Theater T , 47, 389, 375, 375]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,622 - INFO - Sent: b'[08X295, Gateway School for Environmental Research & Tech , 31, 377, 367, 368]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,622 - INFO - Sent: b'[08X305, Pablo Neruda Academy Architecture & World Studies , 54, 359, 358, 338]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,622 - INFO - Sent: b'[08X312, MILLENNIUM ART ACADEMY , 41, 380, 389, 371]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,622 - INFO - Sent: b'[08X332, HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY , 34, 374, 362, 366]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,623 - INFO - Sent: b'[08X377, BRONX COMMUNITY HIGH SCHOOL (X377) , 10, 416, 393, 414]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,623 - INFO - Sent: b'[08X405, HERBERT H LEHMAN HIGH SCHOOL , 448, 414, 433, 397]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,623 - INFO - Sent: b'[08X408, YABC AT HERBERT H. LEHMAN HIGH SCHOOL , 8, 358, 343, 385]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,623 - INFO - Sent: b'[08X450, ADLAI E STEVENSON HIGH SCHOOL , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,623 - INFO - Sent: b'[08X452, The Bronx Guild High School , 36, 381, 361, 352]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,623 - INFO - Sent: b'[08X507, YABC AT ADLAI STEVENSON HIGH SCHOOL , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,624 - INFO - Sent: b'[08X519, Felisa Rincon de Gautier Inst for Law & Pub Policy , 43, 373, 376, 367]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,624 - INFO - Sent: b'[08X530, BANANA KELLY HIGH SCHOOL , 48, 377, 382, 368]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,624 - INFO - Sent: b'[08X540, HIGH SCHOOL CMTY RESEARCH LRN , 29, 356, 376, 368]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,624 - INFO - Sent: b'[08X560, BRONX ACADEMY HIGH SCHOOL , 19, 373, 354, 364]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,624 - INFO - Sent: b'[08X650, Jane Addams Vocational High School , 152, 370, 377, 363]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,624 - INFO - Sent: b'[09X227, Bronx Expeditionary Learning High School , 46, 371, 358, 343]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,624 - INFO - Sent: b'[09X231, Eagle Academy for Young Men , 66, 391, 399, 386]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,625 - INFO - Sent: b'[09X239, Urban Assembly Academy History & Citizenship , 22, 359, 380, 371]' on port 9999. Hit CTRL-c to stop.
